,gen,nevals,max,avg,min,std
0,0,100,[50.67298953],[3.01033785],[-5.7388135],[16.20120972]
1,1,100,[50.69298953],[13.62370003],[-5.49718465],[21.55447659]
2,2,100,[65.3405707],[27.16609908],[-5.4966249],[22.97398382]
3,3,100,[50.87276855],[31.48560362],[-5.53017274],[22.61694157]
4,4,100,[50.69298953],[36.68066131],[-5.76668286],[21.91769155]
5,5,100,[56.24001372],[43.27696091],[-4.88224976],[15.43714823]
6,6,100,[50.69298953],[41.6976089],[-4.94224976],[18.24636187]
7,7,100,[50.82348324],[44.7684846],[-5.31903186],[14.57931535]
8,8,100,[56.60999167],[49.1026615],[-4.82224976],[6.5165852]
9,9,100,[59.19404176],[49.47004634],[-3.7108362],[7.40674114]
10,10,100,[51.14547213],[48.36114229],[-5.69218757],[9.30625114]
11,11,100,[50.69298953],[49.50690807],[1.25043453],[6.02900084]
12,12,100,[50.69298953],[49.47872118],[13.37087747],[4.60655096]
13,13,100,[50.69298953],[47.87190473],[-3.61521899],[11.1672382]
14,14,100,[65.26110035],[50.53769402],[29.28550537],[2.58699487]
15,15,100,[50.69298953],[49.87326726],[1.24840579],[5.18059453]
16,16,100,[50.69298953],[49.9684716],[1.40840579],[5.00581499]
17,17,100,[50.69298953],[50.4535456],[34.70859651],[1.5835488]
18,18,100,[50.69298953],[49.98344389],[1.20840579],[5.0349593]
19,19,100,[50.69298953],[49.35916787],[1.20840579],[7.10648714]
20,20,100,[50.69298953],[49.53373564],[1.38840579],[6.16661293]
21,21,100,[54.02928235],[48.44106475],[1.28840579],[8.82633423]
22,22,100,[51.04033246],[48.6761774],[1.22840579],[9.16680233]
23,23,100,[50.69298953],[49.03526024],[1.16840579],[8.44204664]
24,24,100,[50.70891296],[48.10073949],[-5.00224976],[9.38774592]
25,25,100,[50.9776202],[48.17240904],[-5.12224976],[10.39353371]
26,26,100,[50.69298953],[48.6330581],[-4.94224976],[9.0392918]
27,27,100,[50.69298953],[48.78638971],[-3.55890407],[8.21931077]
28,28,100,[51.0662161],[48.52884365],[-5.08224976],[9.30160056]
29,29,100,[50.69298953],[49.39634887],[-5.00224976],[7.5047607]
30,0,100,[50.77951212],[5.53141857],[-6.06260375],[17.57770085]
31,1,100,[54.22696823],[17.41566854],[-5.71669575],[22.69006032]
32,2,100,[53.56764391],[28.74692584],[-5.78607881],[22.68315844]
33,3,100,[51.09277849],[36.91527795],[-5.34666993],[18.58557327]
34,4,100,[50.69298953],[35.13989004],[-5.48290084],[21.82611475]
35,5,100,[53.43348231],[42.43980067],[-3.84917782],[16.98426871]
36,6,100,[50.82294696],[45.61235965],[-3.5308362],[12.31897085]
37,7,100,[51.02033246],[47.87206432],[-3.6708362],[8.92546832]
38,8,100,[53.71653935],[47.1798618],[-5.00224976],[10.64274686]
39,9,100,[50.69298953],[47.93183542],[-4.82224976],[9.66511598]
40,10,100,[50.69298953],[48.77424965],[34.56859651],[4.86872836]
41,11,100,[50.69298953],[48.79949634],[-3.4108362],[6.65400852]
42,12,100,[56.68618046],[48.81077593],[34.40764423],[4.96777691]
43,13,100,[62.80741053],[47.75331513],[-3.5308362],[9.65657196]
44,14,100,[51.24258429],[47.03026038],[1.12840579],[11.4180778]
45,15,100,[51.10116954],[46.21082145],[-3.4908362],[13.33761414]
46,16,100,[50.69298953],[44.32422346],[-3.53897562],[16.01408406]
47,17,100,[54.06315578],[47.60000147],[1.22840579],[10.71948457]
48,18,100,[62.34104688],[46.62962401],[-3.56860156],[13.69823854]
49,19,100,[54.02561247],[46.7518268],[1.18802355],[12.09565018]
50,20,100,[66.0061948],[49.52489442],[1.24840579],[7.26909166]
51,21,100,[53.6087993],[48.3589928],[1.12840579],[9.19742582]
52,22,100,[53.88802856],[49.39075512],[1.32840579],[5.60466764]
53,23,100,[50.69298953],[46.77341168],[1.12840579],[12.3322462]
54,24,100,[50.69298953],[47.9759424],[-3.4308362],[10.24607068]
55,25,100,[50.71951212],[48.41523235],[1.12840579],[8.81105969]
56,26,100,[50.69298953],[47.40532109],[1.12840579],[10.33153526]
57,27,100,[53.39211429],[47.02034508],[1.12840579],[11.49736119]
58,28,100,[53.83138313],[46.56191618],[1.22840579],[11.91169929]
59,29,100,[59.74610742],[48.73767483],[1.37043453],[7.36868922]
60,0,100,[50.59298953],[-0.47712991],[-5.749196],[11.63288019]
61,1,100,[50.76153772],[10.11212611],[-5.86728047],[20.40360402]
62,2,100,[53.37951157],[23.42824663],[-5.68382806],[22.65700409]
63,3,100,[50.75951212],[29.71320665],[-5.30633191],[22.0060531]
64,4,100,[59.41512905],[38.19882889],[-5.00485394],[20.179069]
65,5,100,[53.5860993],[43.93324784],[-5.06224976],[15.01932971]
66,6,100,[56.57298953],[42.91618577],[-5.14224976],[17.36711737]
67,7,100,[53.59709281],[41.44607897],[-4.96224976],[18.4546438]
68,8,100,[51.35911192],[42.66716375],[-5.20224976],[16.4546353]
69,9,100,[53.90258929],[47.18957512],[-5.00224976],[10.86728386]
70,10,100,[50.98210082],[43.43520967],[-5.48173124],[17.10665526]
71,11,100,[51.07816182],[46.49562764],[-3.6308362],[12.98420553]
72,12,100,[50.93803573],[45.5826246],[-4.98224976],[13.68392374]
73,13,100,[68.31022571],[46.84644514],[-5.04224976],[11.5619848]
74,14,100,[50.69298953],[48.81764656],[-3.3908362],[8.13768987]
75,15,100,[50.78402237],[45.86185285],[-4.84224976],[13.86027382]
76,16,100,[54.04273305],[46.12199227],[-4.90224976],[14.11065886]
77,17,100,[51.11350205],[50.1681392],[38.00519048],[2.00216077]
78,18,100,[65.47811861],[45.39553028],[-3.92691846],[14.68186185]
79,19,100,[53.36391807],[46.82529024],[-3.6708362],[12.01320849]
80,20,100,[65.22951937],[48.16615045],[9.10876501],[7.41258919]
81,21,100,[50.73486859],[45.03969906],[-3.6108362],[14.53341168]
82,22,100,[54.04032445],[46.96112491],[-3.7108362],[11.31056901]
83,23,100,[56.95487598],[42.7131623],[-3.48536283],[16.65949052]
84,24,100,[56.45438583],[43.17993604],[-4.98224976],[16.82290817]
85,25,100,[65.3600277],[45.47798212],[-5.08224976],[14.91044364]
86,26,100,[59.46157282],[45.60708186],[-3.5708362],[14.17967697]
87,27,100,[65.44936516],[43.39016627],[-4.86224976],[17.6166951]
88,28,100,[59.85399331],[41.21554934],[-5.08224976],[18.38865981]
89,29,100,[59.32662166],[44.88623392],[-5.00224976],[15.48231308]
90,0,100,[50.61298953],[0.35258152],[-6.09503974],[13.59313195]
91,1,100,[50.67298953],[5.92447177],[-5.60990088],[17.00099672]
92,2,100,[53.67298953],[25.8714396],[-5.48406634],[22.86131026]
93,3,100,[68.38404796],[33.98219715],[-5.4834841],[21.56496414]
94,4,100,[59.44248898],[33.01963973],[-5.04224976],[22.39489156]
95,5,100,[53.55779618],[38.20803964],[-5.53145094],[19.47613984]
96,6,100,[50.77951212],[41.67369629],[-4.98224976],[17.72040267]
97,7,100,[53.67405174],[44.21009501],[-5.10224976],[15.14771421]
98,8,100,[56.39728347],[42.90184925],[-5.5214767],[16.0018052]
99,9,100,[50.82294696],[46.85501706],[-5.02224976],[11.83306127]
100,10,100,[59.48226071],[45.86156206],[-4.98224976],[14.08232905]
101,11,100,[51.22426252],[48.08658888],[-4.86224976],[10.19964033]
102,12,100,[50.77951212],[47.10816048],[-2.60819346],[10.65775496]
103,13,100,[53.5095885],[48.38808924],[-4.96224976],[8.26820553]
104,14,100,[52.5638003],[46.97526954],[-2.46704124],[11.43654344]
105,15,100,[60.33956593],[48.13246992],[-3.6708362],[9.28527606]
106,16,100,[50.85486859],[46.80377055],[1.14840579],[10.0182117]
107,17,100,[50.69298953],[47.67059149],[-3.7508362],[7.87276859]
108,18,100,[50.69298953],[46.89889549],[-3.6708362],[11.13346278]
109,19,100,[51.20627056],[48.32582801],[18.30156403],[6.08754497]
110,20,100,[53.51298953],[48.02294807],[-3.4708362],[8.75292839]
111,21,100,[50.91712749],[45.01903412],[-3.8308362],[12.82627334]
112,22,100,[53.82725869],[46.53602064],[-3.6108362],[10.75766699]
113,23,100,[53.64728646],[47.45922051],[34.36859651],[6.03210913]
114,24,100,[53.45124277],[46.69600044],[-4.55639537],[10.77619685]
115,25,100,[54.12354496],[43.07349388],[-4.18691846],[15.93755531]
116,26,100,[53.3573687],[45.64190341],[-3.79009299],[12.84053213]
117,27,100,[53.74725869],[46.16622781],[-3.6708362],[10.98879553]
118,28,100,[53.75330431],[48.54177909],[1.20840579],[6.48173401]
119,29,100,[50.73727237],[46.94765082],[-3.6108362],[9.09852682]
120,0,100,[59.54933025],[3.84071404],[-5.87052885],[17.73466219]
121,1,100,[50.70778592],[11.23486371],[-5.79949523],[21.34900178]
122,2,100,[50.73763886],[27.25673787],[-5.6948062],[22.5800508]
123,3,100,[53.55493886],[37.64984538],[-5.50665945],[20.2408033]
124,4,100,[59.48104688],[42.57206283],[-5.20224976],[17.30293006]
125,5,100,[51.06653888],[44.61112223],[-5.00224976],[16.02346765]
126,6,100,[53.56325767],[40.41174514],[-5.4834841],[19.5808365]
127,7,100,[50.69298953],[44.4870261],[-5.16224976],[15.23819352]
128,8,100,[59.21884403],[48.97607276],[-3.4708362],[8.84854593]
129,9,100,[53.47003248],[44.41821674],[-4.9323871],[14.97472363]
130,10,100,[56.5303524],[44.20827537],[-4.92485394],[15.7627437]
131,11,100,[53.59689965],[46.13025191],[-5.33721818],[12.82982262]
132,12,100,[50.71524208],[45.26769179],[-3.5908362],[14.43803468]
133,13,100,[50.69298953],[44.41332907],[-4.48697975],[16.04560901]
134,14,100,[50.86294696],[46.58701177],[-5.06224976],[12.73074738]
135,15,100,[53.67044573],[46.81129824],[-3.5908362],[11.80878024]
136,16,100,[51.203654],[46.51411824],[1.17538793],[11.17658566]
137,17,100,[50.74294696],[45.03660712],[-3.6708362],[15.15921846]
138,18,100,[50.82925975],[46.08385715],[-3.7508362],[13.52815139]
139,19,100,[50.99183919],[47.30265756],[-3.68536283],[12.27458522]
140,20,100,[51.11090103],[48.9534461],[-3.5108362],[6.66678447]
141,21,100,[51.1183849],[48.82000313],[34.45918529],[4.85738278]
142,22,100,[50.83951212],[48.95636572],[-3.7108362],[6.68560677]
143,23,100,[50.69298953],[48.11100025],[1.22840579],[7.01762282]
144,24,100,[50.98162344],[46.84514265],[-3.59626937],[11.03629436]
145,25,100,[50.90829295],[47.83134954],[-4.49794488],[9.45754942]
146,26,100,[51.05759966],[48.25292119],[-3.70860156],[8.24895292]
147,27,100,[51.04539072],[46.11048891],[-3.54465134],[12.36822535]
148,28,100,[51.0662161],[46.64632834],[-3.45103561],[11.90258294]
149,29,100,[51.05450739],[45.64464977],[-3.7908362],[10.27185833]
150,0,100,[50.65298953],[1.44371544],[-5.85002583],[14.69020775]
151,1,100,[50.72886642],[9.59212883],[-5.79739853],[21.18334885]
152,2,100,[50.69298953],[24.12547266],[-5.48406634],[22.21409193]
153,3,100,[50.81977202],[31.17313811],[-5.65699121],[21.63414603]
154,4,100,[56.5095387],[42.03746412],[-4.96224976],[14.71367142]
155,5,100,[56.69042417],[43.95209974],[-5.4834841],[16.4076771]
156,6,100,[56.47709281],[44.14308996],[-3.5508362],[15.47374151]
157,7,100,[53.59298953],[44.5037651],[-5.06224976],[15.2216182]
158,8,100,[53.47044573],[43.73422422],[-5.24224976],[17.21766082]
159,9,100,[50.69298953],[44.31513997],[-5.02224976],[15.11628993]
160,10,100,[50.82294696],[45.94279253],[-4.98224976],[13.08055003]
161,11,100,[50.69298953],[46.86941402],[-4.74485394],[9.91200136]
162,12,100,[50.69298953],[48.71914822],[1.22840579],[7.50484024]
163,13,100,[53.39109707],[47.72862495],[-2.62309019],[9.43110722]
164,14,100,[50.69298953],[47.57365708],[1.14840579],[9.25532478]
165,15,100,[56.65032394],[47.87473158],[1.22840579],[10.08650486]
166,16,100,[53.79061006],[46.75058303],[1.14840579],[11.25265045]
167,17,100,[51.27078226],[48.59029436],[-3.5308362],[8.15700436]
168,18,100,[50.69298953],[50.04313881],[33.6891966],[2.86280936]
169,19,100,[50.69298953],[50.00862127],[8.5351372],[4.52191221]
170,20,100,[51.41790958],[48.75930765],[-4.80224976],[8.11635174]
171,21,100,[50.69298953],[48.97183055],[-3.66536283],[7.70582466]
172,22,100,[50.79410141],[49.5803145],[10.16944749],[4.86867162]
173,23,100,[53.83071601],[49.62696977],[-3.7108362],[6.00935014]
174,24,100,[50.69298953],[49.03834103],[-3.60536283],[7.99345718]
175,25,100,[50.98225369],[48.35268862],[-3.70465134],[9.39556211]
176,26,100,[50.69298953],[49.50174927],[-3.5508362],[5.83874596]
177,27,100,[56.75676538],[49.49773655],[-4.92927133],[6.33834965]
178,28,100,[50.69298953],[48.91359519],[8.34102438],[6.25405791]
179,29,100,[50.69298953],[49.76957522],[-4.88224976],[5.79418239]
180,0,100,[50.69298953],[2.066452],[-5.83869051],[14.46357885]
181,1,100,[56.32604203],[8.34410248],[-5.66346223],[18.566696]
182,2,100,[53.63298953],[21.94233901],[-5.98206974],[23.99992994]
183,3,100,[50.69298953],[31.11017376],[-5.67894646],[22.76038222]
184,4,100,[53.59074552],[35.11530486],[-5.50437719],[22.10459271]
185,5,100,[52.3105366],[37.53107877],[-5.48406634],[20.67486426]
186,6,100,[56.08330795],[43.16377015],[-4.84224976],[16.01998596]
187,7,100,[54.00980579],[41.34473442],[-5.48406634],[18.63510101]
188,8,100,[50.69298953],[42.20282696],[-5.00224976],[17.96599883]
189,9,100,[59.37423963],[47.11462889],[-5.02224976],[12.21323827]
190,10,100,[50.69298953],[44.5899402],[-4.90485394],[15.51938073]
191,11,100,[51.17208939],[45.56661529],[-5.39794488],[13.77597162]
192,12,100,[56.68286224],[46.8350096],[-5.02224976],[12.43022786]
193,13,100,[50.98912486],[46.77122671],[-4.80224976],[12.51021671]
194,14,100,[50.77874029],[46.6608975],[-2.62309019],[12.91716623]
195,15,100,[62.27832727],[47.07582555],[-3.5908362],[12.31276418]
196,16,100,[60.14671474],[44.8326805],[1.05035511],[14.28989291]
197,17,100,[60.57134109],[46.16998863],[-3.8308362],[13.21797043]
198,18,100,[50.8092439],[45.21485897],[-3.7308362],[13.68868784]
199,19,100,[56.42467398],[47.48833003],[1.22840579],[9.70854212]
200,20,100,[50.99430509],[45.59456951],[-3.7508362],[13.13536759]
201,21,100,[68.63628018],[47.68365389],[1.22840579],[10.46804671]
202,22,100,[53.6687993],[46.39668074],[-3.5308362],[12.39124689]
203,23,100,[65.30614852],[46.50514013],[-3.4108362],[12.45896359]
204,24,100,[65.24951937],[49.45924931],[1.30840579],[7.28074275]
205,25,100,[51.31763402],[47.7655618],[1.22840579],[8.2434571]
206,26,100,[55.88577897],[46.0811186],[1.30840579],[10.35890825]
207,27,100,[52.94824126],[48.36226582],[1.12840579],[7.55984992]
208,28,100,[50.71907843],[47.41185263],[-3.64179009],[10.21868744]
209,29,100,[53.61044573],[48.59406678],[27.2788368],[4.94003562]
210,0,100,[50.69298953],[3.54024619],[-6.01425252],[17.51789061]
211,1,100,[50.69298953],[11.12663612],[-5.69274545],[20.81784718]
212,2,100,[51.29928393],[25.31683963],[-5.49830135],[22.99771957]
213,3,100,[50.97866902],[34.34715528],[-5.33868986],[21.30769974]
214,4,100,[50.96593815],[43.73460401],[-5.48290084],[13.75747194]
215,5,100,[50.71095796],[39.51299364],[-5.53694045],[19.40039696]
216,6,100,[50.74593815],[42.22016307],[-4.88224976],[16.9304872]
217,7,100,[53.93898267],[45.50188741],[-4.84224976],[13.01821365]
218,8,100,[50.95206629],[48.04998567],[-3.56536283],[9.05786702]
219,9,100,[53.41811861],[48.91925737],[34.36859651],[4.46793946]
220,10,100,[50.83430509],[49.32676705],[25.03668842],[4.38323345]
221,11,100,[50.69298953],[48.39956471],[1.28840579],[7.41525192]
222,12,100,[50.71763886],[50.60023603],[50.49298953],[0.06143991]
223,13,100,[56.37060515],[50.01905586],[26.34916191],[3.44641937]
224,14,100,[51.0062161],[49.9956843],[10.14572124],[4.5297534]
225,15,100,[50.85740335],[49.78264626],[-5.14224976],[5.73187729]
226,16,100,[50.77977202],[48.01666494],[-5.00224976],[10.5018176]
227,17,100,[50.80899222],[48.66500008],[-3.5708362],[9.1262302]
228,18,100,[50.99689761],[48.9069881],[-5.02224976],[9.10020036]
229,19,100,[51.11240147],[47.52517074],[-3.5508362],[10.99104146]
230,20,100,[51.11430509],[47.7543188],[-5.48231655],[9.54299717]
231,21,100,[50.72562519],[46.44803485],[-4.96224976],[12.81597143]
232,22,100,[51.27618484],[47.29453944],[-5.00224976],[11.11734212]
233,23,100,[51.02033246],[48.40361009],[-3.2908362],[6.54928646]
234,24,100,[50.98033246],[46.62026701],[-4.59794488],[8.39324757]
235,25,100,[53.46764391],[48.15602051],[32.95666438],[5.13095164]
236,26,100,[51.04033246],[46.63161379],[9.26516292],[7.37454565]
237,27,100,[51.02199221],[46.24433812],[3.30459425],[8.77040443]
238,28,100,[50.9862161],[46.49942158],[33.80087381],[6.92138363]
239,29,100,[51.10653888],[46.35519943],[-3.6508362],[8.27620919]
240,0,100,[50.63298953],[2.13699675],[-5.50506417],[15.03066753]
241,1,100,[56.27146241],[13.95858004],[-5.52036001],[21.25712337]
242,2,100,[54.07321285],[22.99379487],[-5.51831276],[22.90775823]
243,3,100,[50.75984745],[34.44697982],[-5.525068],[21.54993279]
244,4,100,[51.33308633],[37.82503531],[-5.04224976],[19.68953773]
245,5,100,[59.39587393],[40.13402399],[-4.08691846],[18.82505097]
246,6,100,[50.69298953],[44.89047304],[-3.74536283],[15.03940049]
247,7,100,[59.35946606],[41.26825184],[-4.98224976],[19.31668961]
248,8,100,[53.54226895],[44.86267629],[-5.50437719],[15.47223012]
249,9,100,[50.69298953],[43.08052615],[-5.02224976],[17.90874698]
250,10,100,[56.49489553],[46.09596367],[-3.5108362],[14.10347444]
251,11,100,[56.31192322],[42.87118007],[-5.48173124],[17.54319037]
252,12,100,[50.69298953],[44.02615734],[-4.88224976],[17.04663153]
253,13,100,[62.50271433],[45.99682469],[-5.08224976],[14.36867807]
254,14,100,[50.69298953],[48.2430151],[-5.12224976],[10.37474044]
255,15,100,[50.69298953],[46.95168639],[-5.04224976],[13.12681595]
256,16,100,[50.84294696],[45.59000065],[-3.7308362],[14.5496073]
257,17,100,[50.82294696],[47.52164655],[-5.10224976],[12.12264036]
258,18,100,[50.69298953],[46.85483009],[-5.04224976],[12.67091618]
259,19,100,[53.61298953],[47.14847695],[-5.14224976],[11.63304901]
260,20,100,[51.05602163],[47.297513],[-5.43347383],[11.92583116]
261,21,100,[53.51887204],[48.41720459],[-4.94224976],[9.40191389]
262,22,100,[50.69298953],[46.4008687],[-5.00224976],[12.70030367]
263,23,100,[51.20169392],[45.32034961],[-4.96224976],[15.32617497]
264,24,100,[60.02306954],[44.18432412],[-4.96224976],[16.69104278]
265,25,100,[59.95921076],[43.63890337],[-3.5108362],[17.04724818]
266,26,100,[50.8973965],[44.47864235],[-5.00224976],[15.51152535]
267,27,100,[50.69298953],[47.53466061],[1.16840579],[11.37621139]
268,28,100,[50.69298953],[46.30115099],[-3.5708362],[13.41878278]
269,29,100,[51.22798341],[45.98791376],[-3.7908362],[14.8395572]
270,0,100,[50.69298953],[4.06279662],[-5.75549892],[16.79900613]
271,1,100,[50.72294696],[14.4000375],[-5.65176547],[22.10883016]
272,2,100,[53.84183168],[25.9054554],[-5.48406634],[23.59561059]
273,3,100,[50.83214339],[33.6183248],[-5.86772448],[21.96339364]
274,4,100,[51.43098421],[39.131434],[-5.06224976],[18.59974665]
275,5,100,[62.95414311],[41.98560699],[-5.51778742],[16.8097543]
276,6,100,[59.43107126],[40.56266313],[-5.51883729],[18.44209538]
277,7,100,[56.5295387],[41.28670474],[-5.12224976],[18.64691267]
278,8,100,[56.84283728],[46.4392014],[-5.08224976],[12.65005206]
279,9,100,[53.4873818],[44.33320907],[-5.50437719],[15.55963617]
280,10,100,[50.69298953],[45.17301329],[-5.00224976],[14.60591369]
281,11,100,[53.2804973],[47.79214081],[1.16840579],[10.82288532]
282,12,100,[59.04822698],[47.40860843],[-5.12485394],[12.1434326]
283,13,100,[54.43595791],[49.2699154],[-5.02224976],[7.50295562]
284,14,100,[50.69298953],[48.00054508],[1.22840579],[9.95434702]
285,15,100,[50.69298953],[48.97156178],[-5.04224976],[8.80800983]
286,16,100,[50.69298953],[49.48348228],[1.38840579],[5.66717652]
287,17,100,[50.69298953],[48.85460805],[1.24840579],[8.61018716]
288,18,100,[50.69298953],[49.62849786],[1.40840579],[6.88888245]
289,19,100,[52.91756146],[49.33609826],[1.28840579],[7.07954864]
290,20,100,[59.81316706],[48.72080796],[1.16840579],[9.7407636]
291,21,100,[53.92893697],[48.30262836],[1.22840579],[9.51376532]
292,22,100,[53.97326739],[46.39329267],[-3.6108362],[13.34398422]
293,23,100,[53.49298953],[49.33980906],[-4.84224976],[7.53895809]
294,24,100,[51.20284508],[46.40954838],[-4.86224976],[13.32546389]
295,25,100,[59.66672279],[47.38550544],[-5.02224976],[11.75834965]
296,26,100,[50.69298953],[48.68486921],[-4.84224976],[9.10950587]
297,27,100,[53.6104262],[45.48696999],[-4.86224976],[14.8276207]
298,28,100,[51.19612918],[47.31394556],[-3.4708362],[11.47679185]
299,29,100,[54.03913059],[47.81603482],[-3.51997105],[10.80898238]
